region,station,rainfall_mm,temperature_c,humidity_pct
Oyo,WX023,177,37.9,68
Benue,WX010,74,24.6,84
Ogun,WX029,100,35.5,44
Enugu,WX019,89,24.0,41
Kano,WX016,234,38.2,64
Kano,WX018,139,22.7,35
Niger,WX005,48,31.8,95
Plateau,WX024,249,34.2,48
Bauchi,WX035,129,30.5,91
Bauchi,WX028,45,27.7,87
Enugu,WX034,125,30.8,77
Bauchi,WX012,94,29.6,37
Niger,WX017,51,37.7,47
Oyo,WX008,83,27.5,47
Niger,WX013,114,27.5,34
Nasarawa,WX039,76,24.7,57
Enugu,WX013,166,18.3,41
Oyo,WX015,138,22.0,41
Plateau,WX008,249,18.4,50
Ogun,WX032,125,22.3,63
Benue,WX021,100,37.6,33
Oyo,WX034,179,30.1,81
Plateau,WX018,50,20.4,68
Enugu,WX039,229,27.2,80
Enugu,WX035,214,22.4,68
Oyo,WX040,215,27.6,92
Ogun,WX027,148,24.6,30
Nasarawa,WX037,125,26.6,67
Enugu,WX010,79,27.4,75
Bauchi,WX015,207,30.9,90
Kaduna,WX029,238,28.4,37
Plateau,WX001,213,25.3,45
Enugu,WX040,216,37.1,58
Oyo,WX001,100,19.5,30
Enugu,WX038,111,25.9,82
Enugu,WX026,241,26.9,58
Oyo,WX002,157,29.7,92
Kaduna,WX027,46,26.7,51
Niger,WX025,76,24.7,63
Nasarawa,WX020,207,19.9,68
Ogun,WX020,124,24.8,81
Bauchi,WX006,218,21.5,81
Plateau,WX033,145,22.9,44
Niger,WX012,233,32.7,91
Benue,WX014,92,31.9,74
Bauchi,WX003,99,36.8,73
Plateau,WX019,242,31.5,67
Kano,WX015,231,38.9,90
Benue,WX037,256,37.5,76
Niger,WX017,62,32.3,47
Kaduna,WX014,229,22.4,74
Bauchi,WX003,146,26.3,94
Nasarawa,WX013,101,33.5,39
Enugu,WX017,84,20.3,75
Bauchi,WX022,119,33.5,61
Oyo,WX015,112,25.9,92
Nasarawa,WX005,118,31.0,49
Niger,WX035,61,28.1,70
Oyo,WX020,71,27.3,76
Plateau,WX022,163,36.3,36
Bauchi,WX016,56,22.2,85
Kaduna,WX019,80,33.8,36
Plateau,WX001,223,26.7,75
Bauchi,WX010,69,31.2,79
Niger,WX010,198,25.5,45
Kaduna,WX027,147,24.1,37
Benue,WX023,214,27.0,32
Enugu,WX023,103,25.4,90
Kaduna,WX014,101,31.6,75
Enugu,WX004,117,33.2,55
Ogun,WX023,92,28.2,33
Kano,WX032,73,23.0,91
Bauchi,WX002,185,23.6,70
Ogun,WX010,246,24.5,93
Enugu,WX007,223,35.0,61
Bauchi,WX019,139,26.9,72
Benue,WX009,71,32.2,87
Bauchi,WX001,189,20.4,49
Enugu,WX018,188,28.8,35
Oyo,WX011,62,24.5,68
Kano,WX028,200,23.6,85
Oyo,WX031,101,35.6,73
Bauchi,WX010,92,28.5,82
Ogun,WX005,150,22.7,87
Nasarawa,WX031,230,19.6,56
Benue,WX010,95,27.6,34
Kaduna,WX036,154,25.5,49
Bauchi,WX022,40,27.0,65
Enugu,WX017,123,23.1,73
Kano,WX010,235,32.8,53
Kano,WX029,167,31.0,45
Kaduna,WX021,147,27.1,88
Bauchi,WX012,225,18.5,65
Niger,WX011,103,28.1,93
Bauchi,WX002,182,20.4,32
Kaduna,WX019,131,37.6,76
Niger,WX002,129,31.1,69
Bauchi,WX011,60,27.5,62
Benue,WX004,50,24.6,81
Benue,WX027,56,26.0,39
Enugu,WX033,97,32.3,48
Nasarawa,WX024,211,21.3,71
Oyo,WX005,116,25.9,82
Bauchi,WX038,85,33.8,60
Enugu,WX014,50,34.1,88
Nasarawa,WX016,187,36.1,54
Kano,WX017,198,38.1,82
Niger,WX016,210,28.3,70
Nasarawa,WX012,53,28.0,40
Ogun,WX033,256,31.7,91
Ogun,WX030,199,38.3,37
Niger,WX003,165,36.2,63
Ogun,WX010,229,29.0,72
Kano,WX029,195,22.7,33
Nasarawa,WX034,206,31.9,75
Bauchi,WX035,220,37.1,54
Kaduna,WX020,102,21.5,56
Kano,WX001,112,36.3,60
Kaduna,WX024,252,27.4,48
Benue,WX021,71,27.1,81
Benue,WX009,208,37.5,42
Enugu,WX015,69,27.9,73
Benue,WX029,146,37.4,82
Ogun,WX040,107,36.7,43
Niger,WX007,158,26.5,61
Kaduna,WX027,154,31.6,38
Plateau,WX039,252,19.4,56
Kaduna,WX017,163,26.8,69
Enugu,WX022,117,19.7,56
Plateau,WX005,49,23.8,82
Bauchi,WX008,203,35.0,72
Kaduna,WX021,106,20.9,91
Kano,WX012,163,23.5,39
Niger,WX038,104,31.5,38
Niger,WX027,251,20.5,56
Kaduna,WX004,184,27.6,73
Enugu,WX037,198,20.9,47
Ogun,WX018,208,28.7,48
Kano,WX016,208,37.0,82
Benue,WX020,246,28.9,36
Ogun,WX016,168,19.5,58
Benue,WX025,235,37.4,67
Bauchi,WX013,148,25.7,63
Bauchi,WX020,228,30.5,33
Enugu,WX023,91,19.3,88
Kaduna,WX025,103,27.0,31
Benue,WX012,186,24.2,79
Bauchi,WX011,230,26.1,43
Enugu,WX015,43,21.9,49
Kano,WX009,134,27.6,46
Plateau,WX007,49,21.1,69
Nasarawa,WX033,156,23.8,49
Kaduna,WX025,241,30.2,57
Niger,WX018,247,28.2,88
Kaduna,WX001,214,37.1,31
Nasarawa,WX030,202,29.7,66
Kaduna,WX020,223,24.5,77
Kano,WX020,102,23.9,75
Benue,WX004,63,33.6,36
Benue,WX014,202,38.0,69
Niger,WX005,255,29.5,63
Kano,WX022,110,33.4,51
Kano,WX025,217,27.3,93
Bauchi,WX017,40,26.3,90
Kano,WX028,119,24.1,41
Kano,WX030,98,35.9,72
Plateau,WX034,116,33.6,43
Kano,WX028,187,26.9,78
Bauchi,WX034,212,31.8,78
Oyo,WX019,123,31.6,69
Kaduna,WX031,135,22.2,45
Nasarawa,WX006,241,36.4,38
Kano,WX013,62,25.3,94
Ogun,WX034,178,28.7,52
Oyo,WX023,66,23.9,43
Bauchi,WX016,158,28.1,33
Benue,WX014,162,25.4,61
Benue,WX036,205,21.5,70
Kano,WX011,233,35.3,47
Benue,WX038,127,24.3,70
Kaduna,WX027,249,21.8,63
Kano,WX033,155,18.5,68
Ogun,WX040,217,37.0,43
Nasarawa,WX030,58,31.3,41
Niger,WX033,100,22.5,37
Oyo,WX020,105,18.4,58
Plateau,WX039,73,27.4,91
Kano,WX008,95,34.2,44
Niger,WX038,177,29.4,86
Bauchi,WX002,179,24.2,55
Ogun,WX028,67,24.4,59
Enugu,WX023,129,28.2,55
Ogun,WX033,200,31.0,85
Nasarawa,WX002,123,36.2,66
Bauchi,WX025,81,18.8,74
Nasarawa,WX025,172,38.7,60
Benue,WX034,81,32.6,94
Niger,WX002,85,31.3,33
Bauchi,WX005,88,30.1,48
Kaduna,WX019,65,23.5,53
Benue,WX038,175,33.3,83
Niger,WX013,217,29.4,53
Plateau,WX012,51,37.1,69
Plateau,WX011,189,23.6,75
Enugu,WX021,182,23.2,95
Bauchi,WX024,155,32.0,95
Benue,WX024,63,21.5,45
Benue,WX028,169,33.7,36
Benue,WX010,175,21.0,77
Enugu,WX017,139,28.9,87
Plateau,WX001,128,22.4,93
Nasarawa,WX031,115,23.1,40
Kano,WX034,116,19.7,94
Niger,WX026,185,19.5,55
Benue,WX027,252,26.7,85
Bauchi,WX004,210,27.1,49
Ogun,WX024,242,37.8,34
Plateau,WX009,243,29.7,62
Niger,WX028,118,19.2,91
Enugu,WX003,152,19.5,71
Enugu,WX025,160,34.9,93
Kano,WX035,203,23.1,41
Kaduna,WX002,175,20.0,33
Oyo,WX017,244,26.1,73
Kaduna,WX025,225,29.8,40
Niger,WX012,91,18.3,43
Ogun,WX009,256,35.4,71
Kaduna,WX005,212,27.8,55
Niger,WX040,208,30.6,77
Niger,WX016,216,29.6,63
Bauchi,WX007,249,28.8,76
Oyo,WX035,166,21.1,64
Kano,WX036,209,25.2,46
Bauchi,WX008,240,31.2,34
Bauchi,WX035,105,32.7,63
Niger,WX025,119,24.3,32
Kaduna,WX031,175,36.9,92
Oyo,WX017,82,18.2,59
Kano,WX004,223,38.1,56
Oyo,WX024,191,27.7,39
Benue,WX024,143,27.3,39
Benue,WX037,48,27.7,48
Benue,WX031,143,23.7,93
Nasarawa,WX036,252,25.8,61
Enugu,WX001,167,20.2,37
Plateau,WX015,81,20.6,76
Enugu,WX020,98,25.7,80
Bauchi,WX013,114,33.2,68
Enugu,WX011,205,33.5,88
Plateau,WX033,76,30.2,69
Plateau,WX021,186,20.2,48
Enugu,WX035,48,25.6,92
Kaduna,WX025,71,24.9,42
Oyo,WX035,69,34.2,61
Enugu,WX006,217,27.8,80
Oyo,WX029,125,36.7,94
Niger,WX027,226,28.9,54
Kaduna,WX040,170,34.8,81
Nasarawa,WX008,215,24.6,62
Nasarawa,WX010,120,37.5,59
Oyo,WX024,122,31.1,73
Benue,WX037,90,29.6,91
Niger,WX022,192,23.9,31
Plateau,WX035,163,38.1,61
Enugu,WX028,236,35.9,32
Bauchi,WX034,151,33.6,66
Ogun,WX017,82,25.8,49
Enugu,WX030,228,37.2,85
Oyo,WX036,133,26.8,40
Ogun,WX038,185,27.9,46
Plateau,WX014,76,21.7,84
Plateau,WX004,147,24.1,53
Oyo,WX031,104,33.7,52
Kaduna,WX014,116,35.6,46
Enugu,WX020,218,26.1,56
Kaduna,WX004,80,22.3,50
Oyo,WX033,58,30.8,84
Oyo,WX029,165,38.0,67
Benue,WX038,77,21.2,42
Oyo,WX018,85,32.9,70
Plateau,WX010,60,22.9,33
Benue,WX002,127,25.5,84
Nasarawa,WX034,176,34.4,87
Kaduna,WX001,230,32.5,80
Benue,WX002,194,28.4,93
Oyo,WX031,147,24.2,44
Nasarawa,WX004,58,24.4,95
Bauchi,WX021,43,32.4,92
Plateau,WX035,133,19.0,86
Oyo,WX018,79,38.4,68
Enugu,WX016,157,37.4,33
Plateau,WX019,204,18.3,39
Benue,WX015,152,20.0,87
Enugu,WX008,96,36.8,35
Kano,WX007,129,27.7,64
Kano,WX022,133,28.0,77
Benue,WX016,181,27.1,56
Kaduna,WX033,181,31.5,34
Niger,WX040,209,38.2,70
Niger,WX018,157,34.7,93
Bauchi,WX032,117,27.1,69
Bauchi,WX013,232,36.1,31
Oyo,WX022,223,38.5,79
Oyo,WX026,259,37.1,32
Oyo,WX003,199,24.1,31
Nasarawa,WX033,158,19.6,71
Kaduna,WX039,168,19.9,48
Kano,WX010,222,35.7,65
Benue,WX032,126,25.2,86
Oyo,WX032,117,32.1,65
Bauchi,WX037,254,38.6,51
Oyo,WX023,189,24.0,76
Kano,WX034,126,35.5,70
Oyo,WX040,45,26.5,92
Nasarawa,WX004,101,31.6,83
Oyo,WX015,125,30.2,44
Kaduna,WX006,150,37.6,35
Kaduna,WX002,204,34.0,55
Enugu,WX003,176,36.1,37
Bauchi,WX038,130,33.1,30
Plateau,WX026,88,21.3,47
Benue,WX024,204,21.7,75
Nasarawa,WX004,107,31.4,74
Niger,WX006,42,25.6,35
Kano,WX021,148,28.9,60
Bauchi,WX006,65,26.8,91
Benue,WX011,215,34.4,72
Bauchi,WX024,205,36.7,77
Niger,WX017,227,18.4,41
Kano,WX012,195,26.0,73
Bauchi,WX025,226,30.8,55
Benue,WX032,148,18.1,52
Bauchi,WX014,125,18.5,69
Oyo,WX002,207,27.5,80
Kaduna,WX010,101,23.5,93
Ogun,WX001,188,36.9,33
Kano,WX033,83,31.1,51
Enugu,WX016,257,36.6,93
Kano,WX004,101,31.7,32
Ogun,WX005,66,38.5,63
Kaduna,WX003,59,21.2,35
Kano,WX029,244,23.6,84
Niger,WX037,180,34.0,45
Enugu,WX027,220,38.5,49
Plateau,WX014,168,37.1,45
Kaduna,WX004,128,32.9,63
Nasarawa,WX032,166,34.6,91
Enugu,WX020,100,21.4,46
Benue,WX011,126,34.5,79
Ogun,WX013,213,25.8,91
Nasarawa,WX020,104,29.9,44
Benue,WX001,180,19.4,81
Oyo,WX039,257,28.2,53
Bauchi,WX002,73,24.6,47
Kaduna,WX025,234,38.7,70
Benue,WX032,132,26.8,34
Benue,WX017,183,28.9,49
Ogun,WX002,97,32.8,91
Kano,WX010,122,38.2,53
Nasarawa,WX015,63,35.1,30
Plateau,WX037,45,28.5,62
Nasarawa,WX028,48,37.3,92
Kaduna,WX037,222,25.8,47
Kaduna,WX020,205,32.9,90
Enugu,WX005,147,36.3,39
Benue,WX017,243,32.4,93
Kano,WX001,167,21.8,34
Niger,WX019,222,36.4,47
Ogun,WX011,57,26.9,76
Kano,WX017,134,31.7,48
Nasarawa,WX013,181,21.6,44
Niger,WX038,74,24.6,52
Benue,WX029,260,36.5,39
Benue,WX027,226,25.9,49
Plateau,WX024,161,31.5,86
Niger,WX037,258,38.3,43
Kaduna,WX004,94,27.9,45
Plateau,WX001,242,30.7,71
Plateau,WX029,131,36.9,45
Oyo,WX037,168,35.3,55
Kaduna,WX022,247,32.5,73
Ogun,WX022,186,22.3,53
Nasarawa,WX013,254,23.5,84
Kano,WX007,193,38.2,91
Kaduna,WX035,190,20.0,49
Niger,WX010,228,26.0,41
Kaduna,WX010,143,18.8,73
Enugu,WX038,250,26.1,45
Kaduna,WX021,63,29.4,56
Kano,WX037,70,24.1,53
Ogun,WX039,212,34.9,54
Enugu,WX011,42,26.6,39
Niger,WX037,76,19.8,50
Kaduna,WX040,97,32.6,30
Benue,WX033,227,33.1,94
Kano,WX019,163,35.0,93
Plateau,WX003,46,21.1,76
Enugu,WX027,207,32.5,56
Ogun,WX021,184,28.0,55
Bauchi,WX016,205,18.6,34
Enugu,WX039,96,21.8,39
Oyo,WX005,250,24.7,58
Bauchi,WX033,68,36.8,55
Enugu,WX005,120,34.5,76
Enugu,WX023,260,24.3,79
Nasarawa,WX014,46,18.1,48
Bauchi,WX023,185,21.9,30
Ogun,WX034,68,37.6,83
Oyo,WX034,185,30.2,60
Oyo,WX013,58,24.7,53
Ogun,WX013,208,18.1,67
Nasarawa,WX008,259,27.1,38
Bauchi,WX027,46,27.5,41
Oyo,WX035,93,34.3,79
Nasarawa,WX031,250,19.2,43
Niger,WX013,105,22.6,92
Kaduna,WX024,181,35.6,93
Kano,WX016,247,29.8,83
Kaduna,WX022,235,32.8,85
Niger,WX008,150,27.4,66
Bauchi,WX010,51,26.9,64
Kaduna,WX039,195,22.2,81
Benue,WX005,133,31.7,38
Kaduna,WX038,118,36.2,60
Bauchi,WX003,159,21.6,85
Kano,WX033,207,21.7,77
Kano,WX021,216,34.8,36
Niger,WX035,220,18.5,87
Oyo,WX012,232,25.4,70
Bauchi,WX037,236,33.5,52
Ogun,WX037,51,35.0,64
Enugu,WX020,184,23.1,44
Nasarawa,WX006,238,25.1,63
Kano,WX011,130,21.3,30
Nasarawa,WX013,105,26.4,37
Nasarawa,WX008,81,36.5,80
Kano,WX036,72,26.2,52
Enugu,WX028,63,22.8,80
Kano,WX013,127,34.2,61
Enugu,WX008,260,32.9,42
Oyo,WX017,247,28.5,47
Plateau,WX013,206,31.8,80
Niger,WX013,223,35.8,67
Oyo,WX002,173,36.7,68
Oyo,WX007,253,35.7,78
Oyo,WX005,230,24.7,35
Niger,WX015,96,35.9,73
Kaduna,WX027,225,20.8,49
Ogun,WX006,73,23.0,87
Nasarawa,WX033,226,26.2,49
Kano,WX002,109,38.1,51
Enugu,WX011,88,35.8,43
Benue,WX017,177,18.1,49
Plateau,WX005,246,18.4,82
Benue,WX027,109,20.4,31
Kano,WX017,56,27.8,37
Benue,WX021,199,18.0,93
Bauchi,WX032,202,20.7,30
Plateau,WX039,133,36.6,94
Bauchi,WX036,40,22.0,88
Kano,WX025,76,24.9,43
Niger,WX011,75,34.2,68
Enugu,WX034,81,35.7,90
Oyo,WX023,145,27.2,32
Bauchi,WX022,252,33.0,66
Bauchi,WX033,108,27.8,52
Kano,WX004,109,35.7,65
Nasarawa,WX014,243,37.7,53
Benue,WX026,112,30.1,69
Kaduna,WX019,84,33.1,94
Oyo,WX012,244,18.7,41
Kaduna,WX015,136,28.6,86
Bauchi,WX030,229,34.1,63
Niger,WX012,99,32.2,65
Niger,WX009,53,19.0,77
Enugu,WX012,182,35.5,67
Oyo,WX002,206,22.2,86
Plateau,WX022,238,20.7,71
Bauchi,WX009,166,38.2,85
Benue,WX040,92,31.7,41
Niger,WX016,245,34.6,32
Oyo,WX027,215,28.2,94
Nasarawa,WX012,260,27.9,31
Nasarawa,WX022,226,26.0,92
Benue,WX023,160,31.3,36
Nasarawa,WX025,247,19.5,34
Kano,WX016,206,35.1,54
Kaduna,WX020,163,19.1,44
Bauchi,WX022,230,29.2,45
Niger,WX002,211,33.9,57
Enugu,WX030,160,23.6,62
Niger,WX017,219,36.1,38
Plateau,WX007,124,32.7,34
Kano,WX004,44,19.2,77
Benue,WX011,41,20.8,77
Niger,WX012,69,25.3,66
Ogun,WX021,239,23.5,61
Enugu,WX010,185,18.8,33
Ogun,WX012,76,30.1,64
Oyo,WX014,109,26.6,68
Niger,WX037,233,36.2,79
Niger,WX035,218,27.8,34
Kaduna,WX016,134,19.4,93
Kaduna,WX012,115,24.5,37
Benue,WX029,114,29.6,59
Plateau,WX014,162,31.9,92
Plateau,WX009,53,30.5,74
Plateau,WX013,87,26.1,59
Nasarawa,WX026,166,20.0,91
Benue,WX036,145,20.1,64
Oyo,WX014,242,34.1,45
Kaduna,WX034,237,25.4,68
Plateau,WX026,52,19.2,86
Plateau,WX010,235,27.6,47
Bauchi,WX019,193,22.0,73
Oyo,WX016,78,36.8,91
Niger,WX025,167,23.8,58
Niger,WX024,98,36.3,63
Kaduna,WX017,167,33.6,81
Kaduna,WX030,61,21.6,40
Enugu,WX024,156,20.8,88
Ogun,WX027,234,24.4,36
Plateau,WX010,48,23.9,39
Benue,WX030,258,35.1,50
Enugu,WX028,98,29.9,42
Oyo,WX037,179,21.0,64
Kaduna,WX002,164,37.1,55
Bauchi,WX012,252,27.8,34
Oyo,WX017,103,18.3,80
Oyo,WX022,183,25.0,48
Niger,WX030,57,27.7,51
Kaduna,WX033,69,27.8,44
Bauchi,WX004,207,33.1,32
Plateau,WX040,213,34.9,69
Kano,WX012,176,38.0,57
Bauchi,WX040,178,26.5,77
Enugu,WX017,76,22.0,64
Oyo,WX022,98,32.6,36
Ogun,WX036,195,29.4,72
Oyo,WX007,60,31.8,60
Kaduna,WX007,156,38.5,52
Bauchi,WX005,115,18.1,92
Niger,WX017,86,32.1,45
Niger,WX032,86,20.7,58
Enugu,WX009,247,36.1,77
Ogun,WX023,194,37.4,76
Nasarawa,WX034,120,22.2,74
Oyo,WX027,79,31.3,50
Enugu,WX001,203,34.7,48
Plateau,WX002,110,28.3,63
Nasarawa,WX004,73,21.9,78
Bauchi,WX026,128,26.5,85
Kaduna,WX009,44,30.4,52
Benue,WX017,116,28.2,85
Kano,WX036,105,20.5,51
Kano,WX023,74,33.8,81
Benue,WX024,220,19.3,82
Ogun,WX002,121,28.2,81
Oyo,WX040,173,36.8,89
Nasarawa,WX021,157,34.2,73
Benue,WX031,251,20.2,91
Ogun,WX032,138,32.9,70
Nasarawa,WX019,168,31.6,41
Kano,WX038,169,32.0,54
Kaduna,WX005,244,21.8,93
Kano,WX024,258,22.5,91
Nasarawa,WX004,123,33.1,81
Ogun,WX012,226,29.0,62
Oyo,WX039,130,35.1,56
Kano,WX025,168,28.9,92
Kano,WX003,257,20.6,56
Bauchi,WX006,243,36.5,54
Enugu,WX034,247,18.4,70
Plateau,WX008,246,29.9,58
Plateau,WX017,199,24.1,86
Bauchi,WX017,63,35.4,30
Ogun,WX015,63,32.9,54
Ogun,WX038,145,34.2,83
Ogun,WX033,140,29.4,39
Nasarawa,WX008,248,37.2,44
Niger,WX029,238,33.7,79
Enugu,WX029,134,30.3,90
Kano,WX005,48,34.6,64
Bauchi,WX039,121,25.5,83
Plateau,WX027,115,21.7,90
Kano,WX014,45,27.9,69
Ogun,WX019,50,30.6,82
Kaduna,WX016,71,22.2,59
Plateau,WX012,98,35.2,40
Kaduna,WX016,99,27.6,53
Niger,WX029,199,30.9,72
Niger,WX011,159,20.4,84
Kano,WX014,113,22.9,48
Ogun,WX006,234,32.2,66
Bauchi,WX033,203,24.1,78
Kaduna,WX013,71,24.1,51
Niger,WX030,242,21.4,50
Kaduna,WX021,141,35.1,49
Plateau,WX034,162,35.0,57
Nasarawa,WX037,130,38.6,35
Nasarawa,WX026,119,32.4,80
Plateau,WX024,247,32.9,35
Nasarawa,WX027,169,19.0,89
Kaduna,WX001,251,29.0,90
Kaduna,WX035,67,28.9,40
Niger,WX029,152,29.5,39
Kaduna,WX003,88,37.5,61
Kano,WX040,145,27.5,73
Benue,WX017,253,19.9,84
Plateau,WX027,136,23.2,45
Nasarawa,WX017,135,31.2,39
Plateau,WX018,166,34.1,43
Kaduna,WX010,186,38.0,54
Enugu,WX027,255,21.4,51
Kano,WX023,126,18.9,89
Enugu,WX039,172,25.3,66
Nasarawa,WX038,119,26.1,63
Ogun,WX028,54,23.9,77
Benue,WX008,54,34.7,56
Plateau,WX038,120,37.0,48
Ogun,WX015,121,32.9,31
Plateau,WX003,147,37.9,31
Kaduna,WX031,255,33.0,72
Kaduna,WX027,136,32.5,87
Nasarawa,WX027,170,38.4,70
Ogun,WX011,62,33.6,80
Enugu,WX021,105,30.5,64
Enugu,WX022,245,27.0,83
Plateau,WX007,48,20.9,90
Bauchi,WX018,167,23.6,35
Oyo,WX016,135,20.1,48
Bauchi,WX005,146,37.8,50
Enugu,WX021,193,31.2,39
Oyo,WX030,180,37.4,79
Niger,WX008,224,24.5,67
Enugu,WX018,195,23.7,58
Enugu,WX028,236,30.7,55
Bauchi,WX035,178,26.5,72
Plateau,WX012,257,37.9,63
Bauchi,WX020,224,20.0,55
Enugu,WX025,83,33.1,90
Bauchi,WX032,55,22.3,67
Bauchi,WX024,54,31.7,73
Ogun,WX014,219,21.0,82
Kaduna,WX011,83,26.7,37
Bauchi,WX003,252,30.2,84
Nasarawa,WX037,102,23.2,61
Plateau,WX039,70,27.6,77
Plateau,WX013,164,35.5,94
Plateau,WX022,203,29.2,79
Bauchi,WX007,203,28.5,93
Bauchi,WX018,83,21.2,73
Kano,WX012,123,19.4,73
Bauchi,WX021,40,22.4,44
Kaduna,WX004,105,29.0,68
Nasarawa,WX001,175,24.0,56
Enugu,WX033,70,34.7,58
Bauchi,WX036,99,20.0,60
Oyo,WX035,68,26.7,88
Kaduna,WX013,55,24.2,84
Bauchi,WX036,75,28.1,54
Enugu,WX010,60,35.3,37
Enugu,WX027,137,29.3,76
Enugu,WX008,44,36.1,95
Nasarawa,WX030,49,21.8,53
Kano,WX039,225,20.2,74
Kaduna,WX016,145,18.3,61
Kano,WX036,241,33.2,52
Nasarawa,WX024,93,28.2,51
Bauchi,WX023,137,30.0,76
Oyo,WX013,150,21.7,76
Nasarawa,WX009,186,34.7,38
Benue,WX040,177,34.9,36
Enugu,WX032,58,28.9,72
Nasarawa,WX011,45,26.2,61
Bauchi,WX012,50,18.3,91
Ogun,WX001,72,24.2,76
Kaduna,WX018,241,23.5,38
Oyo,WX004,87,28.7,49
Nasarawa,WX035,146,20.7,65
Plateau,WX030,45,33.7,30
Plateau,WX012,203,22.2,58
Enugu,WX011,228,30.9,92
Kaduna,WX029,105,28.6,51
Niger,WX028,76,19.8,90
Ogun,WX027,78,35.5,50
Bauchi,WX003,66,25.8,40
Niger,WX014,101,38.3,39
Enugu,WX027,101,31.0,35
Oyo,WX029,48,24.0,38
Benue,WX036,215,19.2,36
Ogun,WX004,139,32.7,73
Enugu,WX014,61,19.3,71
Kaduna,WX031,133,21.3,53
Bauchi,WX011,211,36.4,37
Bauchi,WX007,196,37.0,32
Bauchi,WX010,137,20.3,51
Nasarawa,WX019,56,25.8,95
Nasarawa,WX014,209,24.1,93
Plateau,WX040,194,21.4,63
Plateau,WX006,202,33.6,49
Oyo,WX007,198,25.7,47
Kano,WX036,137,20.9,87
Ogun,WX014,167,26.3,52
Kaduna,WX016,87,38.8,88
Oyo,WX018,250,29.4,87
Nasarawa,WX011,67,27.4,56
Nasarawa,WX009,202,31.4,77
Nasarawa,WX006,260,25.6,93
Plateau,WX033,82,23.3,35
Bauchi,WX011,212,28.3,77
Ogun,WX040,59,21.8,38
Nasarawa,WX007,226,18.5,52
Niger,WX039,117,35.4,51
Plateau,WX012,155,31.1,38
Bauchi,WX014,212,35.5,62
Bauchi,WX013,236,33.9,55
Plateau,WX037,142,21.7,88
Bauchi,WX023,71,22.2,58
Kaduna,WX018,51,38.6,65
Oyo,WX018,60,28.1,51
Plateau,WX025,222,39.0,50
Enugu,WX022,123,20.2,82
Bauchi,WX010,143,26.1,77
Enugu,WX019,167,18.1,55
Bauchi,WX034,220,27.9,64
Kano,WX012,189,30.4,87
Oyo,WX010,52,24.0,74
Bauchi,WX027,246,28.3,63
Nasarawa,WX021,185,19.3,38
Kaduna,WX031,227,18.4,74
Benue,WX029,89,38.7,66
Kaduna,WX019,251,30.2,84
Kaduna,WX040,51,32.3,73
Oyo,WX019,254,28.5,62
Nasarawa,WX023,105,20.1,86
Kano,WX029,139,32.8,66
Nasarawa,WX019,77,24.6,78
Oyo,WX032,74,18.7,85
Enugu,WX040,121,35.4,69
Niger,WX028,180,34.1,35
Kano,WX034,249,35.9,86
Kaduna,WX008,180,33.0,33
Kano,WX034,222,33.0,67
Oyo,WX005,93,21.2,30
Nasarawa,WX003,77,24.4,91
Niger,WX033,92,31.5,88
Kano,WX010,103,19.1,52
Plateau,WX011,164,23.5,37
Plateau,WX035,109,20.0,49
Plateau,WX040,258,18.3,57
Oyo,WX006,59,18.4,46
Enugu,WX016,257,33.5,88
Nasarawa,WX016,178,21.9,39
Plateau,WX026,177,35.4,35
Plateau,WX005,124,37.2,68
Ogun,WX018,191,36.6,61
Nasarawa,WX026,124,35.4,66
Plateau,WX010,141,36.7,30
Benue,WX034,113,36.3,63
Oyo,WX011,109,24.1,52
Kano,WX040,115,24.2,73
Enugu,WX006,53,36.3,83
Bauchi,WX036,58,22.7,49
Oyo,WX026,176,31.6,76
Bauchi,WX031,224,23.2,82
Ogun,WX017,94,21.0,81
Nasarawa,WX011,106,37.4,68
Niger,WX023,246,18.2,83
Nasarawa,WX024,183,25.5,55
Oyo,WX007,55,18.0,63
Nasarawa,WX032,211,35.4,89
Kano,WX025,142,33.5,60
Kaduna,WX012,161,34.4,84
Kaduna,WX008,224,34.8,54
Bauchi,WX017,117,24.6,72
Kaduna,WX009,150,26.9,40
Oyo,WX001,204,26.0,76
Plateau,WX040,230,18.5,83
Kaduna,WX040,116,23.0,43
Oyo,WX012,202,18.0,69
Plateau,WX016,168,34.8,44
Kano,WX026,237,28.5,47
Enugu,WX014,191,33.3,72
Ogun,WX038,160,33.7,49
Enugu,WX028,175,37.3,85
Enugu,WX009,63,36.6,70
Nasarawa,WX037,235,30.5,45
Oyo,WX012,247,20.9,50
Enugu,WX022,127,23.4,83
Plateau,WX014,203,24.1,90
Bauchi,WX010,203,18.3,43
Enugu,WX040,81,20.3,59
Oyo,WX031,81,35.9,41
Kaduna,WX019,205,32.0,47
Plateau,WX035,85,27.1,84
Plateau,WX037,189,28.5,34
Kaduna,WX026,108,19.2,78
Nasarawa,WX026,141,28.8,32
Kano,WX034,132,33.8,37
Niger,WX024,49,38.4,50
Nasarawa,WX003,110,30.8,36
Bauchi,WX026,225,24.1,63
Enugu,WX008,92,26.7,58
Ogun,WX021,59,23.3,45
Enugu,WX024,64,33.2,48
Kano,WX033,188,32.9,44
Oyo,WX009,156,29.0,85
Kaduna,WX002,148,24.9,81
Plateau,WX030,62,30.2,91
Bauchi,WX028,148,21.9,30
Nasarawa,WX018,109,37.4,46
Kaduna,WX018,75,23.7,70
